profile,approach,metric,statistic,value,unit,n,comparison_basis
Regular,LP-Meal,Proteína,mean_daily,111.6748,g/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Proteína,relative_change_from_base_percent,-9.463687,percent,1,same-profile Base mean
Regular,Base,Sódio,mean_daily,2125.994476,mg/day,50,diet files used by the main submitted tables
Regular,GA-Food,Sódio,mean_daily,2784.9589,mg/day,1,diet files used by the main submitted tables
Regular,GA-Food,Sódio,relative_change_from_base_percent,30.995585,percent,1,same-profile Base mean
Regular,GA-Meal,Sódio,mean_daily,2413.4887,mg/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Sódio,relative_change_from_base_percent,13.522811,percent,1,same-profile Base mean
Regular,LP-Food,Sódio,mean_daily,876.79334,mg/day,1,diet files used by the main submitted tables
Regular,LP-Food,Sódio,relative_change_from_base_percent,-58.758438,percent,1,same-profile Base mean
Regular,LP-Meal,Sódio,mean_daily,2288.8908,mg/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Sódio,relative_change_from_base_percent,7.662124,percent,1,same-profile Base mean
Regular,Base,Vitamina C,mean_daily,161.496394,mg/day,50,diet files used by the main submitted tables
Regular,GA-Food,Vitamina C,mean_daily,265.0046,mg/day,1,diet files used by the main submitted tables
Regular,GA-Food,Vitamina C,relative_change_from_base_percent,64.0932,percent,1,same-profile Base mean
Regular,GA-Meal,Vitamina C,mean_daily,348.9068,mg/day,1,diet files used by the main submitted tables
Regular,GA-Meal,Vitamina C,relative_change_from_base_percent,116.046186,percent,1,same-profile Base mean
Regular,LP-Food,Vitamina C,mean_daily,89.49352,mg/day,1,diet files used by the main submitted tables
Regular,LP-Food,Vitamina C,relative_change_from_base_percent,-44.584818,percent,1,same-profile Base mean
Regular,LP-Meal,Vitamina C,mean_daily,268.7852,mg/day,1,diet files used by the main submitted tables
Regular,LP-Meal,Vitamina C,relative_change_from_base_percent,66.434181,percent,1,same-profile Base mean
Vegan,Base,Carboidrato disponível,mean_daily,282.441732,g/day,50,diet files used by the main submitted tables
Vegan,GA-Food,Carboidrato disponível,mean_daily,234.3397,g/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Carboidrato disponível,relative_change_from_base_percent,-17.030781,percent,1,same-profile Base mean
Vegan,GA-Meal,Carboidrato disponível,mean_daily,251.8599,g/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Carboidrato disponível,relative_change_from_base_percent,-10.827661,percent,1,same-profile Base mean
Vegan,LP-Food,Carboidrato disponível,mean_daily,240.6334,g/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Carboidrato disponível,relative_change_from_base_percent,-14.802463,percent,1,same-profile Base mean
Vegan,LP-Meal,Carboidrato disponível,mean_daily,251.1262,g/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Carboidrato disponível,relative_change_from_base_percent,-11.087431,percent,1,same-profile Base mean
Vegan,Base,Colesterol,mean_daily,26.363436,mg/day,50,diet files used by the main submitted tables
Vegan,GA-Food,Colesterol,mean_daily,45.45,mg/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Colesterol,relative_change_from_base_percent,72.397862,percent,1,same-profile Base mean
Vegan,GA-Meal,Colesterol,mean_daily,60.179,mg/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Colesterol,relative_change_from_base_percent,128.266907,percent,1,same-profile Base mean
Vegan,LP-Food,Colesterol,mean_daily,22.3002,mg/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Colesterol,relative_change_from_base_percent,-15.412392,percent,1,same-profile Base mean
Vegan,LP-Meal,Colesterol,mean_daily,45.45,mg/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Colesterol,relative_change_from_base_percent,72.397862,percent,1,same-profile Base mean
Vegan,Base,Cálcio,mean_daily,607.485097,mg/day,50,diet files used by the main submitted tables
Vegan,GA-Food,Cálcio,mean_daily,1013.779,mg/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Cálcio,relative_change_from_base_percent,66.881296,percent,1,same-profile Base mean
Vegan,GA-Meal,Cálcio,mean_daily,1012.279,mg/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Cálcio,relative_change_from_base_percent,66.634376,percent,1,same-profile Base mean
Vegan,LP-Food,Cálcio,mean_daily,999.73343,mg/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Cálcio,relative_change_from_base_percent,64.569211,percent,1,same-profile Base mean
Vegan,LP-Meal,Cálcio,mean_daily,1039.093,mg/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Cálcio,relative_change_from_base_percent,71.048311,percent,1,same-profile Base mean
Vegan,Base,Energia,mean_daily,2268.38112,kcal/day,50,diet files used by the main submitted tables
Vegan,GA-Food,Energia,mean_daily,2080.61,kcal/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Energia,relative_change_from_base_percent,-8.277759,percent,1,same-profile Base mean
Vegan,GA-Meal,Energia,mean_daily,2017.25,kcal/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Energia,relative_change_from_base_percent,-11.07094,percent,1,same-profile Base mean
Vegan,LP-Food,Energia,mean_daily,2099.428,kcal/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Energia,relative_change_from_base_percent,-7.44818,percent,1,same-profile Base mean
Vegan,LP-Meal,Energia,mean_daily,2139.28,kcal/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Energia,relative_change_from_base_percent,-5.691333,percent,1,same-profile Base mean
Vegan,Base,Ferro,mean_daily,16.439062,mg/day,50,diet files used by the main submitted tables
Vegan,GA-Food,Ferro,mean_daily,21.07,mg/day,1,diet files used by the main submitted tables
Vegan,GA-Food,Ferro,relative_change_from_base_percent,28.170327,percent,1,same-profile Base mean
Vegan,GA-Meal,Ferro,mean_daily,14.2151,mg/day,1,diet files used by the main submitted tables
Vegan,GA-Meal,Ferro,relative_change_from_base_percent,-13.528523,percent,1,same-profile Base mean
Vegan,LP-Food,Ferro,mean_daily,15.96752,mg/day,1,diet files used by the main submitted tables
Vegan,LP-Food,Ferro,relative_change_from_base_percent,-2.868426,percent,1,same-profile Base mean
Vegan,LP-Meal,Ferro,mean_daily,26.3284,mg/day,1,diet files used by the main submitted tables
Vegan,LP-Meal,Ferro,relative_change_from_base_percent,60.157553,percent,1,same-profile Base mean
Vegan,Base,Fibra alimentar,mean_daily,51.49763,g/day,50,diet files used by the main submitted tables
