food_original,current_tbca_name,current_tbca_code,occurrence_count,profiles,review_status,candidate_1,candidate_1_code,candidate_1_score,candidate_2,candidate_2_code,candidate_2_score,candidate_3,candidate_3_code,candidate_3_score,candidate_4,candidate_4_code,candidate_4_score,candidate_5,candidate_5_code,candidate_5_score
"Uva, passa, preta","Uva, passa, preta, Brasil",BRC0169C,13,vegan|vegetarian,PENDING_MANUAL_REVIEW,"Uva, passa, branca, Brasil",BRC0168C,0.65081,"Uva passa, s/ caroço (importada)",BRC0171C,0.55561,"Amora preta,in natura, Brasil",BRC0170C,0.45096,"Uva, passa, coberta, c/ chocolate, ao leite",BRC0197C,0.44792,"Uva, var. Itália,in natura, Brasil",BRC0034C,0.39345
"Carne, frango, peito, s/ pele, refogado (c/ óleo, cebola e alho), c/ sal","Carne, frango, peito, s/ pele, refogado (c/ óleo, cebola e alho), c/ sal, Brasil",BRC0235F,12,regular,PENDING_MANUAL_REVIEW,"Carne, frango, peito, s/ pele, refogado (c/ óleo, cebola e alho), s/ sal, Brasil",BRC0234F,1.0,"Carne, frango, asa, c/ pele, refogada (c/ óleo, cebola e alho), c/ sal",BRC0748F,0.79907,"Carne, frango, asa, c/ pele, refogada (c/ óleo, cebola e alho), s/ sal",BRC0747F,0.79907,"Carne, frango, peito, c/ batata, c/ óleo, cebola e alho, c/ sal",BRC0511F,0.7865,"Carne, frango, peito, refogada (c/ óleo, cebola e alho), c/ batata, s/ sal",BRC0824F,0.78125
"Chuchu, s/ casca, cozido, drenado, s/ óleo, c/ sal","Chuchu, s/ casca, cozido, drenado, s/ óleo, c/ sal, Brasil",BRC0154B,12,regular|vegetarian,PENDING_MANUAL_REVIEW,"Chuchu, s/ casca, cozido, drenado, c/ óleo de soja, c/ sal",BRC0230B,0.9,"Chuchu, s/ casca, cozido, drenado, c/ óleo de soja, s/ sal",BRC0229B,0.9,"Chuchu, s/ casca, cozido, drenado, s/ óleo, s/ sal, BrasiI",BRC0050B,0.88698,"Inhame, s/ casca, cozido, drenado, s/ óleo, c/ sal",BRC0343B,0.79504,"Inhame, s/ casca, cozido, drenado, s/ óleo, s/ sal, Brasil",BRC0342B,0.79504
"Queijo, prato","Queijo, tilsit",BRC0071G,12,regular|vegetarian,PENDING_MANUAL_REVIEW,"Queijo, prato, Brasil (média de diferentes amostras)",BRC0064G,1.0,"Queijo, coalho, Brasil",BRC0048G,0.546,"Queijo, ricota, Brasil",BRC0051G,0.546,"Queijo, requeijão (média de diferentes amostras), Brasil",BRC0066G,0.54286,"Queijo, requeijão, Brasil",BRC0067G,0.54286
"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal","Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal, Brasil",BRC0355B,11,vegan|vegetarian,PENDING_MANUAL_REVIEW,"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal, Brasil",BRC0354B,1.0,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal",BRC0166B,0.78265,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, Brasil",BRC0165B,0.78265,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal",BRC0226B,0.72922,"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal",BRC0225B,0.72922
"Almeirão, cru","Amendoim, grão, cru, Brasil",BRC0020T,11,vegan|vegetarian,PENDING_MANUAL_REVIEW,"Almeirão (chicória amarga), cru, Brasil",BRC0011B,0.425,"Salada, almeirão, cru, s/ óleo, s/ sal",BRC0662B,0.3875,Aletria doce,BRC0226K,0.33,"Salada, almeirão, cru, c/ óleo de soja, c/ sal",BRC0659B,0.32784,"Agrião, cru, Brasil",BRC0008B,0.31429
"Barra de cereal, diet","Barra de cereal, dietética (dado importado)",BRC0064N,11,vegan,PENDING_MANUAL_REVIEW,"Barra, cereal, salgada, caseira",BRC1165A,0.54667,"Gelatina, cereja, em pó, diet, Brasil",BRC0005N,0.4325,"Gelatina, cereja, em pó, diet, Brasil",BRC0006N,0.4325,"Goiabada, diet, Brasil",BRC0078N,0.40583,"Cereal matinal, Brasil",BRC0099A,0.39637
"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, c/ sal","Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, s/ sal",BRC0355F,11,regular,PENDING_MANUAL_REVIEW,"Carne, boi, acém moída, cozida, c/ batata, c/ óleo, cebola e alho, c/ sal",BRC0358F,0.92311,"Carne, boi, acém moída, cozida, c/ batata, c/ óleo, cebola e alho, s/ sal",BRC0359F,0.92311,"Carne, boi, acém, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal",BRC0306F,0.88583,"Carne, boi, acém, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal",BRC0307F,0.88583,"Carne, boi, bucho, cozida, c/ óleo, cebola e alho, c/ sal",BRC0890F,0.81359
"Espinafre, folha, cru","Espinafre, folha, cru, Brasil",BRC0072B,11,vegan|vegetarian,PENDING_MANUAL_REVIEW,"Escarola, folha, crua, Brasil",BRC0169B,0.52931,"Coentro, folha, cru, Brasil",BRC0775B,0.50357,"Mostarda, folha, crua, Brasil",BRC0076B,0.49138,"Caruru, folha, crua, Brasil",BRC0069B,0.47593,"Taioba, folha, crua, Brasil",BRC0083B,0.47593
"Torrada, trigo, tradicional","Torrada, trigo, tradicional, c/ geleia",BRC0486A,11,regular|vegetarian,PENDING_MANUAL_REVIEW,"Torrada, trigo, tradicional, c/ manteiga",BRC0482A,0.8036,"Torrada, trigo, tradicional, c/ margarina",BRC0478A,0.79583,"Torrada, trigo, tradicional, c/ requeijão",BRC0480A,0.79583,"Torrada, trigo, tradicional, c/ cream cheese",BRC0484A,0.70651,"Torrada, trigo, tradicional, c/ ricota e temperos",BRC0489A,0.62941
